state_id,keep_formal_work_probability,lose_formal_work_probability,lose_informal_work_probability,keep_informal_work_probability
1,0.91,0.09,0.06,0.94
2,0.9,0.1,0.08,0.92
3,0.93,0.07,0.08,0.92
4,0.95,0.05,0.05,0.95
5,0.92,0.08,0.07,0.93
6,0.94,0.06,0.06,0.94
7,0.97,0.03,0.03,0.97
8,0.91,0.09,0.05,0.95
9,0.92,0.08,0.07,0.93
10,0.94,0.06,0.06,0.94
11,0.93,0.07,0.06,0.94
12,0.97,0.03,0.02,0.98
13,0.96,0.04,0.03,0.97
14,0.92,0.08,0.07,0.93
15,0.91,0.09,0.07,0.93
16,0.95,0.05,0.04,0.96
17,0.93,0.07,0.04,0.96
18,0.95,0.05,0.04,0.96
19,0.91,0.09,0.07,0.93
20,0.98,0.02,0.02,0.98
21,0.94,0.06,0.05,0.95
22,0.89,0.11,0.06,0.94
23,0.91,0.09,0.07,0.93
24,0.94,0.06,0.04,0.96
25,0.93,0.07,0.07,0.93
26,0.92,0.08,0.06,0.94
27,0.94,0.06,0.05,0.95
28,0.94,0.06,0.04,0.96
29,0.94,0.06,0.05,0.95
30,0.95,0.05,0.06,0.94
31,0.95,0.05,0.05,0.95
32,0.95,0.05,0.05,0.95
